name,map_type,nonzero_voxels,min,max,recommended_for_mricrogl,reason,file
common_appraisal_after_cluster_AHAB.nii.gz,binary_system_mask,24848,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_after_cluster_AHAB.nii.gz
common_appraisal_after_cluster_PIP.nii.gz,binary_system_mask,5640,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_after_cluster_PIP.nii.gz
common_appraisal_before_cluster_AHAB.nii.gz,binary_system_mask,24927,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_before_cluster_AHAB.nii.gz
common_appraisal_before_cluster_PIP.nii.gz,binary_system_mask,5738,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_before_cluster_PIP.nii.gz
common_appraisal_consensus_AHAB_PIP.nii.gz,binary_system_mask,18489,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_consensus_AHAB_PIP.nii.gz
modifiable_emotion_after_cluster_AHAB.nii.gz,binary_system_mask,14662,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_after_cluster_AHAB.nii.gz
modifiable_emotion_after_cluster_PIP.nii.gz,binary_system_mask,5775,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_after_cluster_PIP.nii.gz
modifiable_emotion_before_cluster_AHAB.nii.gz,binary_system_mask,14796,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_before_cluster_AHAB.nii.gz
modifiable_emotion_before_cluster_PIP.nii.gz,binary_system_mask,5865,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_before_cluster_PIP.nii.gz
modifiable_emotion_consensus_AHAB_PIP.nii.gz,binary_system_mask,13087,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_consensus_AHAB_PIP.nii.gz
non_modifiable_emotion_after_cluster_AHAB.nii.gz,binary_system_mask,18829,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_after_cluster_AHAB.nii.gz
non_modifiable_emotion_after_cluster_PIP.nii.gz,binary_system_mask,13290,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_after_cluster_PIP.nii.gz
non_modifiable_emotion_before_cluster_AHAB.nii.gz,binary_system_mask,19051,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_before_cluster_AHAB.nii.gz
non_modifiable_emotion_before_cluster_PIP.nii.gz,binary_system_mask,13566,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_before_cluster_PIP.nii.gz
non_modifiable_emotion_consensus_AHAB_PIP.nii.gz,binary_system_mask,31835,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_consensus_AHAB_PIP.nii.gz
reappraisal_only_after_cluster_AHAB.nii.gz,binary_system_mask,3110,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_after_cluster_AHAB.nii.gz
reappraisal_only_after_cluster_PIP.nii.gz,binary_system_mask,2464,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_after_cluster_PIP.nii.gz
reappraisal_only_before_cluster_AHAB.nii.gz,binary_system_mask,3391,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_before_cluster_AHAB.nii.gz
reappraisal_only_before_cluster_PIP.nii.gz,binary_system_mask,2707,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_before_cluster_PIP.nii.gz
reappraisal_only_consensus_AHAB_PIP.nii.gz,binary_system_mask,4052,0,1,"Yes, preferably as overlay on a template",This is a sparse binary system mask; it is easier to view as an overlay on an anatomical template.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_consensus_AHAB_PIP.nii.gz
t_emotion_generation_AHAB.nii.gz,group_t_map,538651,-16.8356151580811,28.4705867767334,Yes,This map has continuous values and should be visible directly.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/t_emotion_generation_AHAB.nii.gz
t_emotion_generation_PIP.nii.gz,group_t_map,588798,-16.459400177002,19.7866497039795,Yes,This map has continuous values and should be visible directly.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/t_emotion_generation_PIP.nii.gz
t_reappraisal_effect_AHAB.nii.gz,group_t_map,538651,-18.7759990692139,14.3919496536255,Yes,This map has continuous values and should be visible directly.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/t_reappraisal_effect_AHAB.nii.gz
t_reappraisal_effect_PIP.nii.gz,group_t_map,588798,-7.97993993759155,9.05621528625488,Yes,This map has continuous values and should be visible directly.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/t_reappraisal_effect_PIP.nii.gz
two_log_bf_emotion_generation_AHAB.nii.gz,paper_style_2log_bayes_factor_map,592895,-4.98303508758545,100,Yes,This map has continuous values and should be visible directly.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/two_log_bf_emotion_generation_AHAB.nii.gz
two_log_bf_emotion_generation_PIP.nii.gz,paper_style_2log_bayes_factor_map,592895,-4.95022249221802,100,Yes,This map has continuous values and should be visible directly.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/two_log_bf_emotion_generation_PIP.nii.gz
two_log_bf_reappraisal_effect_AHAB.nii.gz,paper_style_2log_bayes_factor_map,592895,-4.98303508758545,100,Yes,This map has continuous values and should be visible directly.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/two_log_bf_reappraisal_effect_AHAB.nii.gz
two_log_bf_reappraisal_effect_PIP.nii.gz,paper_style_2log_bayes_factor_map,592895,-4.95022249221802,61.4112510681152,Yes,This map has continuous values and should be visible directly.,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/two_log_bf_reappraisal_effect_PIP.nii.gz
