file,name,size_kb,dim_i,dim_j,dim_k,voxel_i_mm,voxel_j_mm,voxel_k_mm,finite_voxels,nonzero_voxels,min,q01,median,mean,q99,max,map_type,how_to_read
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_after_cluster_AHAB.nii.gz,common_appraisal_after_cluster_AHAB.nii.gz,12.4,79,95,79,2,2,2,592895,24848,0,0,0,0.0419096130004729,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_after_cluster_PIP.nii.gz,common_appraisal_after_cluster_PIP.nii.gz,6.7,79,95,79,2,2,2,592895,5640,0,0,0,0.00951264557803985,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_before_cluster_AHAB.nii.gz,common_appraisal_before_cluster_AHAB.nii.gz,12.5,79,95,79,2,2,2,592895,24927,0,0,0,0.0420428575041926,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_before_cluster_PIP.nii.gz,common_appraisal_before_cluster_PIP.nii.gz,6.8,79,95,79,2,2,2,592895,5738,0,0,0,0.00967793622816504,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/common_appraisal_consensus_AHAB_PIP.nii.gz,common_appraisal_consensus_AHAB_PIP.nii.gz,8,79,95,79,2,2,2,592895,18489,0,0,0,0.0311842737751669,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_after_cluster_AHAB.nii.gz,modifiable_emotion_after_cluster_AHAB.nii.gz,8.6,79,95,79,2,2,2,592895,14662,0,0,0,0.024729505224366,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_after_cluster_PIP.nii.gz,modifiable_emotion_after_cluster_PIP.nii.gz,6,79,95,79,2,2,2,592895,5775,0,0,0,0.00974034188179834,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_before_cluster_AHAB.nii.gz,modifiable_emotion_before_cluster_AHAB.nii.gz,8.8,79,95,79,2,2,2,592895,14796,0,0,0,0.0249555148887725,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_before_cluster_PIP.nii.gz,modifiable_emotion_before_cluster_PIP.nii.gz,6.2,79,95,79,2,2,2,592895,5865,0,0,0,0.00989213941759241,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/modifiable_emotion_consensus_AHAB_PIP.nii.gz,modifiable_emotion_consensus_AHAB_PIP.nii.gz,6.8,79,95,79,2,2,2,592895,13087,0,0,0,0.0220730483475285,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_after_cluster_AHAB.nii.gz,non_modifiable_emotion_after_cluster_AHAB.nii.gz,22.5,79,95,79,2,2,2,592895,18829,0,0,0,0.0317577311328335,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_after_cluster_PIP.nii.gz,non_modifiable_emotion_after_cluster_PIP.nii.gz,16.7,79,95,79,2,2,2,592895,13290,0,0,0,0.0224154361226955,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_before_cluster_AHAB.nii.gz,non_modifiable_emotion_before_cluster_AHAB.nii.gz,23,79,95,79,2,2,2,592895,19051,0,0,0,0.0321321650545592,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_before_cluster_PIP.nii.gz,non_modifiable_emotion_before_cluster_PIP.nii.gz,17.2,79,95,79,2,2,2,592895,13566,0,0,0,0.0228809485659643,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/non_modifiable_emotion_consensus_AHAB_PIP.nii.gz,non_modifiable_emotion_consensus_AHAB_PIP.nii.gz,16,79,95,79,2,2,2,592895,31835,0,0,0,0.0536941616979411,1,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_after_cluster_AHAB.nii.gz,reappraisal_only_after_cluster_AHAB.nii.gz,6.9,79,95,79,2,2,2,592895,3110,0,0,0,0.00524544818222654,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_after_cluster_PIP.nii.gz,reappraisal_only_after_cluster_PIP.nii.gz,5.7,79,95,79,2,2,2,592895,2464,0,0,0,0.0041558792028995,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_before_cluster_AHAB.nii.gz,reappraisal_only_before_cluster_AHAB.nii.gz,7.5,79,95,79,2,2,2,592895,3391,0,0,0,0.0057193938218325,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_before_cluster_PIP.nii.gz,reappraisal_only_before_cluster_PIP.nii.gz,6.3,79,95,79,2,2,2,592895,2707,0,0,0,0.00456573254959813,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/reappraisal_only_consensus_AHAB_PIP.nii.gz,reappraisal_only_consensus_AHAB_PIP.nii.gz,4.9,79,95,79,2,2,2,592895,4052,0,0,0,0.00683426239045515,0,1,binary_system_mask,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/t_emotion_generation_AHAB.nii.gz,t_emotion_generation_AHAB.nii.gz,1939.4,79,95,79,2,2,2,592895,538651,-16.8356151580811,-8.65221782684326,0.10422945022583,1.06017783269176,15.4545456123351,28.4705867767334,group_t_map,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/t_emotion_generation_PIP.nii.gz,t_emotion_generation_PIP.nii.gz,2126.3,79,95,79,2,2,2,592895,588798,-16.459400177002,-7.4404532623291,0.119325578212738,0.286643312863842,9.3041989135742,19.7866497039795,group_t_map,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/t_reappraisal_effect_AHAB.nii.gz,t_reappraisal_effect_AHAB.nii.gz,1936.1,79,95,79,2,2,2,592895,538651,-18.7759990692139,-7.20329067230225,0,0.247658100235476,8.02724006652831,14.3919496536255,group_t_map,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/t_reappraisal_effect_PIP.nii.gz,t_reappraisal_effect_PIP.nii.gz,2122.5,79,95,79,2,2,2,592895,588798,-7.97993993759155,-4.27977692604065,0.0970361083745956,0.148912868222571,5.04416081428528,9.05621528625488,group_t_map,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/two_log_bf_emotion_generation_AHAB.nii.gz,two_log_bf_emotion_generation_AHAB.nii.gz,1826.6,79,95,79,2,2,2,592895,592895,-4.98303508758545,-4.98303508758545,-3.33377528190613,8.64080163622269,100,100,paper_style_2log_bayes_factor_map,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/two_log_bf_emotion_generation_PIP.nii.gz,two_log_bf_emotion_generation_PIP.nii.gz,2034.3,79,95,79,2,2,2,592895,592895,-4.95022249221802,-4.95018529891968,-3.69124722480774,1.9417747613895,73.0072851562494,100,paper_style_2log_bayes_factor_map,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/two_log_bf_reappraisal_effect_AHAB.nii.gz,two_log_bf_reappraisal_effect_AHAB.nii.gz,1846.6,79,95,79,2,2,2,592895,592895,-4.98303508758545,-4.98303508758545,-4.05561494827271,0.144070042918376,63.4858555603027,100,paper_style_2log_bayes_factor_map,RNifti::readNifti(path); values are a 3D voxel array
C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/route_A_original_reproduction/outputs/nifti/two_log_bf_reappraisal_effect_PIP.nii.gz,two_log_bf_reappraisal_effect_PIP.nii.gz,2004.3,79,95,79,2,2,2,592895,592895,-4.95022249221802,-4.95019865036011,-4.14582109451294,-2.34715708096028,21.4670222854613,61.4112510681152,paper_style_2log_bayes_factor_map,RNifti::readNifti(path); values are a 3D voxel array
