roi_id,source_system,component_id,n_voxels,n_voxels_assigned,centroid_i,centroid_j,centroid_k,map_source,source_path
1,reappraisal_only,1,530,530,14.0132075471698,30.8132075471698,55.6905660377359,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
2,reappraisal_only,2,627,627,65.3014354066986,31.5582137161085,54.7735247208932,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
3,reappraisal_only,3,58,58,49.0172413793103,64.4655172413793,60.4827586206897,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
4,reappraisal_only,4,157,157,55.859872611465,71.0127388535032,53.9808917197452,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
5,reappraisal_only,5,138,138,22.9855072463768,76.8550724637681,52.8333333333333,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
6,reappraisal_only,6,133,133,55.0300751879699,79.2932330827068,49.4812030075188,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
7,reappraisal_only,7,165,165,24.969696969697,84.8121212121212,46.6242424242424,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
8,reappraisal_only,8,55,55,57.2181818181818,83.9636363636364,34.5090909090909,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
9,reappraisal_only,9,40,40,68.85,30.875,34.875,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
10,reappraisal_only,10,22,22,13,36.7272727272727,34.4090909090909,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
11,reappraisal_only,11,70,70,58.8428571428571,80.2285714285714,29.8,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
12,reappraisal_only,12,50,50,36.84,17.26,25.02,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
13,reappraisal_only,13,70,70,25.6428571428571,22.3285714285714,23.4571428571429,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
14,reappraisal_only,14,141,141,66.7446808510638,54.4468085106383,18.3971631205674,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
15,reappraisal_only,15,41,41,61.5853658536585,22.7560975609756,21.9512195121951,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
16,reappraisal_only,16,108,108,13.5740740740741,56.3518518518519,17.787037037037,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Reappraisal Only.nii
17,common_appraisal,1,6365,6353,47.496465043205,67.3857030636292,59.9674783974863,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
18,common_appraisal,2,1834,1834,18.5888767720829,65.6324972737187,57.3331515812432,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
19,common_appraisal,3,339,338,18.353982300885,30.1356932153392,62.2802359882006,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
20,common_appraisal,4,831,825,59.1756919374248,27.6546329723225,59.5631768953069,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
21,common_appraisal,5,469,469,40.6140724946695,25.7356076759062,56.6652452025586,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
22,common_appraisal,6,183,183,15.8196721311475,29.3606557377049,48.3551912568306,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
23,common_appraisal,7,89,89,31.9325842696629,87.1348314606742,46.3932584269663,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
24,common_appraisal,8,153,153,56.843137254902,82.8888888888889,42.3006535947712,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
25,common_appraisal,9,204,204,66.2254901960784,27.3480392156863,41.8970588235294,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
26,common_appraisal,10,953,953,16.5823714585519,67.6862539349423,34.1332633788038,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
27,common_appraisal,11,1028,1028,61.0972762645914,66.3793774319066,34.9571984435798,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
28,common_appraisal,12,22,22,10.9090909090909,33.1363636363636,36,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
29,common_appraisal,13,122,122,35.2049180327869,20.0491803278689,23.4426229508197,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
30,common_appraisal,14,452,449,56.320796460177,24.5088495575221,22.3517699115044,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Common Appraisal.nii
31,non_modifiable_emotion,1,963,962,25.8047767393562,57.2232606438214,64.0633437175493,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
32,non_modifiable_emotion,2,587,579,51.541737649063,56.8773424190801,64.1345826235094,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
33,non_modifiable_emotion,3,1523,1501,51.3611293499672,27.4221930400525,60.9921208141825,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
34,non_modifiable_emotion,4,1460,1456,24.1376712328767,29.563698630137,61.1356164383562,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
35,non_modifiable_emotion,5,62,62,35.3870967741936,61.7741935483871,60.258064516129,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
36,non_modifiable_emotion,6,18,18,8.66666666666667,43,59.3333333333333,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
37,non_modifiable_emotion,7,325,314,66.3507692307692,61.0246153846154,49.9723076923077,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
38,non_modifiable_emotion,8,2190,2184,19.9146118721461,68.5127853881279,42.1593607305936,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
39,non_modifiable_emotion,9,190,190,40.1210526315789,58.6736842105263,50.7947368421053,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
40,non_modifiable_emotion,10,135,135,37.9259259259259,87.3333333333333,48.4962962962963,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
41,non_modifiable_emotion,11,356,347,65.1910112359551,76.1207865168539,44.6404494382023,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
42,non_modifiable_emotion,12,514,514,39.4027237354086,33.6070038910506,47.2607003891051,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
43,non_modifiable_emotion,13,37,37,44.0540540540541,79.1891891891892,48.2972972972973,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
44,non_modifiable_emotion,14,24,24,37.4583333333333,67.125,44.3333333333333,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
45,non_modifiable_emotion,15,91,91,34.4835164835165,47.8791208791209,42.6923076923077,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
46,non_modifiable_emotion,16,4725,4725,37.9066666666667,53.3892063492064,29.6249735449736,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
47,non_modifiable_emotion,17,237,231,65.8059071729958,26.2025316455696,37.1561181434599,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
48,non_modifiable_emotion,18,1561,1561,19.6816143497758,23.4766175528507,27.9429852658552,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
49,non_modifiable_emotion,19,1229,1226,58.2880390561432,23.9576891781937,28.0358014646054,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
50,non_modifiable_emotion,20,17,17,28.4705882352941,62.4705882352941,37.8235294117647,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
51,non_modifiable_emotion,21,536,536,40.4458955223881,85.9888059701493,26.2276119402985,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
52,non_modifiable_emotion,22,31,31,29,83.3225806451613,26.9032258064516,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
53,non_modifiable_emotion,23,171,171,54.140350877193,73.7426900584795,25.7426900584795,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Non-modifiable Emotion.nii
54,modifiable_emotion,1,3757,3738,57.2629757785467,27.3654511578387,51.1243013042321,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii
55,modifiable_emotion,2,66,66,52.3484848484849,52.6212121212121,63.9242424242424,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii
56,modifiable_emotion,3,831,831,13.1913357400722,45.231046931408,56.6317689530686,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii
57,modifiable_emotion,4,3884,3862,22.5818743563337,20.6779093717817,39.1125128733265,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii
58,modifiable_emotion,5,162,149,66.3765432098766,59.3950617283951,49.9876543209877,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii
59,modifiable_emotion,6,148,142,36.6891891891892,31.0135135135135,44.4662162162162,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii
60,modifiable_emotion,7,16,16,43.75,31.3125,44.125,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii
61,modifiable_emotion,8,41,40,26,74.1219512195122,29.1219512195122,downloaded_original_system_maps,C:/Users/81575/Desktop/vscode_box/emoreg_project_annotation_copy_2026-06-26/01_R_project/emoreg_R_original_reproduction_and_bottomup_mcmc/data/raw/system_maps/Modifiable Emotion.nii
